,Questions,Answers
824,በቅልብልቦሽ ጨዋታ አራተኛ ለሆነ ምን ይባላል?,እንጀራ ብጋግር
825,በቅልብልቦሽ ጨዋታ አምስተኛ ለሆነ ምን ይባላል?,ወጥ ብሰራ
826,በጣም የታወቀው የቅልብልቦሽ አይነት የትኛው ነው?,ዓይጥ አለብሽ
827,በቅልብልቦሽ ጨዋታ ብጀ ማለት ምን ማለት ነው?,ብጀምር
828,የቅልልብልቦሽ ጨዋታ ለስንት ነው የሚጫወቱት?,ሁለት ወይም ሶስት
829,በቅልብልቦሽ ጨዋታ ስንት ጠጠር ድንጋዮች ይጠቀማሉ?,አምስት
830,በቅልብልቦሽ ጨዋታ ብቀ ማለት ምን ማለት ነው?,ብቀጥል
831,በቅልብልቦሽ ጨዋታ ብቀጣጥል ማለት ምን ማለት ነው?,ሶስተኛ
832,ፍሬደሪክ ዊልሄልም ኒትሸ ከመቼ እስከ መቼ ኖረ?,"ኦክቶበር 15, 1844 - ኦገስት 25, 1900"
833,ፍሬደሪክ ዊልሄልም ኒትሸ በምን የታወቀል?,አለምን ይቀይራሉ ብሎ ያመነባቸውን ብዙ መጻህፍት በመድረስ ይታወቃል። 
834,የኒትሽ ጹሁፎች በምን ዙርያ ያተኩራሉ?,ሰወች እንዴት ሊኖሩ ይገባቸዋል? በሚለው ጥያቄ ነው።
835,ፍሬደሪክ ዊልሄልም ኒትሸ ማን ነው?,ጀርመናዊ ጻህፊና ፈላስፋ
836,የኒሽ አቁዋም ምን ነበር?,የሰው ልጅ እራሱን በራሱ ማሸነፍ እንዲችል
837,በዛብህ ለምን ወደ ዲማ ተመለሰ?,የወላጆቹን\u200c \u200cሞት\u200c
838,ፊት አውራሪ መሸሻ እንዴት ሞቱ?,ፊታውራሪ\u200c \u200cከፈረስ\u200c \u200cላይ\u200c \u200cተወርውረው፣\u200c \u200cተንኮታክተው\u200c
839,ፍቅር እስከ መቃብር በደራሲ ሀዲስ አለማየሁ መቼ ቀረበ?,በ፲፱፻፶፰ ዓ.ም.
840,በዛብህ ለምን የትውልድ ቦታውን ጥሎ ሄደ?,ነጻነቱን\u200c \u200cለማግኘት\u200c
841,በዛብህ በደብረ ወርቅ ሳለ በማን ቤት ተጠግቶ ኖረ?,ከእመት\u200c \u200cጠጂቱ\u200c
842,ለበዛብህ የወላጆቹን ሞት ማን ነገረው?,ደብተራ\u200c \u200cበየነ\u200c
843,በዛብህ በአዲስ አበባ ሳለ በየት ቤተ ክርስቲያን ተቀጥሮ ሰራ?,በራጉኤል\u200c \u200cቤተክርስቲያን
844,ሰብለን ለሞት ያደረሳት በሽታ ምን ነበር?,የልብ\u200c \u200cበሽታዋ\u200c
845,የፍቅር እስከ መቃብር የታሪኩ ይዘት ምን አይነት ነው?,ልብ ወለድ ሲሆን  ሰብለ ወንጌል እና በዛብህ የሚባሉ የሁለት ገፀ ባህሪያትን ፍቅር ይተርካል።
846,የፍቅር እስከ መቃብር ድርሰት ከሌሎቹ ከዶ/ር ሀዲስ አለማየሁ ድርሰቶች በምን ይለያል?,በፊደል አጠቃቀም ላይ ለውጥ አድርገው በማቅረባቸው ነው። 
847,በዛብህ በማን እርዳታ ወደ አዲስ አበባ መጣ?,በግራጌታ\u200c \u200cቀለመወርቅና\u200c \u200cበጉዱ\u200c \u200cካሳ\u200c
848,የበዛብህ ወላጆች እነማን ናቸው?,ከእናቱ\u200c \u200cከውድነሽ\u200c \u200cበጣሙና\u200c \u200cከአባቱን\u200c \u200cከቦጋለ\u200c \u200cመብራት\u200c
849,የሰብለ እናት እንዴት ሞቱ?,ቤተክርስቲያን\u200c \u200cውስጥ\u200c \u200cከደረጃ\u200c \u200cላይ\u200c \u200cተንሸራትተው\u200c \u200cወድቀው\u200c
850,በዛብህ ስሙ ለምን በዛብህ ተባለ?,በሽታ\u200c \u200cይበዛበትና\u200c
851,ፍቅር እስከ መቃብር ደራሲ ማን ነው?,ዶ/ር ሀዲስ አለማየሁ
852,በዛብህ ዜማና ቅኔ የት ተማረ?,ደብረ\u200c \u200cወርቅ\u200c
853,የሰብለ አጎት ማን ናቸው?,ጉዱ\u200c \u200cካሳ
854,በዛብህ እንዴት ሞተ?,\u200cተደብድቦ
855,በዛብህ የትውልድ ቦታው የት ነው?,ጎጃም\u200c \u200cማንኩሳ\u200c
856,የሰብለ እናት ማን ናቸው?,ወይዘሮ\u200c \u200cጥሩአይነትም\u200c
857,ሰብለ ወንጌል በየት አረፈች?,አመድ በር በተባለ ቦታ
858,አጼ ልብነ ድንግል የራሱንና የሰብለ ወንጌልን ምስሎች ወደ የት ላከው?,ቅዱስ አትናቲዮስ ገዳም
859,ሰብለ ወንጌል መቼ አረፈች?,በ1560 ዓ.ም.
860,ሆ ቺ ሚን ማን ነው?,ከ1890-1969 እ.ኤ.አ. የኖረ የቬትናም ኮሚኒስት ፓርቲ መሥራችና መሪ ነበር።
861,ሆ ቺ ሚን የፈረንሳይ ሶሻሊስት ፓርቲን መቼ ተቀላቀለ?,በ1917 እ.ኤ.አ. 
862,ሆ ቺ ሚን የኢንዶቻይና ኮሚኒስት ፓርቲን መቼ መሰረተ?,በ1930 እ.ኤ.አ.
863,ሆ ቺ ሚን ትግሉን ለማሸነፍ ምን አይነት መንገድ ተጠቀመ?,የቦልሼቪኮችን
864,በቬትናም በህዝቡ ትግል ፈረንሳዮች ሲወጡ በእነርሱ እግር የመጡት እነማን ናቸው?,የአሜሪካ ኢምፔሪያሊዝ
865,በቬትናም በህዝቡ ትግል ፈረንሳዮች ሲወጡ በእነርሱ እግር የመጡት የአሜሪካ ኢምፔሪያሊዝም ከመቼ ጅምሮ ነው?,ከ1955 እ.ኤ.አ. ጀምሮ
866,አለቃ ገብረሃና ገብረማሪያም የሕይወት ዘመናቸው ከመቼ እስከ መቼ ነው?,፲፯፻፺፯ - ፲፰፻፺፬ ዓ.ም.
867,አለቃ ገብረሃና ገብረማሪያም አባታቸው ማን ናቸው?,መምህር ገብረ ማርያም ምጥኑ
868,አለቃ ገብረሃና ገብረማሪያም እናታቸው ማን ናቸው?,ወይዘሮ ሳህሊቱ ተክሌ
869,አለቃ ገብረሃና ገብረማሪያም መቼ ተወለዱ?,በ፲፯፻፺፯ ዓ.ም.
870,አለቃ ገብረሃና ገብረማሪያም የት ተወለዱ?,በቤገምድር ጠቅላይ ግዛት በደብረታቦር አውራጃ በፎገራ ወረዳ ልዩ ስሟ ናበጋ ጊዮርጊስ በምትባል ቦታ
871,አለቃ ገብረሃና ገብረማሪያም ለከፍተኛ የቤተክርስቲያን ትምህርት ወዴት ተላኩ?,ወደ ጎንደር
872,ገብረሃና ገብረማሪያም የአለቅነት ማዕረጋቸውን እንዴት አገኙ?,ትምህርታቸውን ከጨረሱ በኋላም በእቴጌይቱ ትዕዛዝ የአለቃነት ማዕረግ ተሰጣቸው።
873,አለቃ ገብረሃና ገብረማሪያም አዲሱን ዓይነት የቤተክርስቲያን አቋቋም ምን ብለው ሰየሙት?,ተክለ
874,አለቃ ገብረሃና ገብረማሪያም በ1890ዓ.ም ከማን ጋር ነው ፎቶ የተነሱት?,አቶ ሙንሮዝ
875,የዲጂታል ዑደት ከአናሎግ የኤሌክትሪክ ዑደት ምን ይለየዋል?,በተወሰኑና የአምክንዮ ትርጓሜ ባላቸው ሲግናሎች ብቻ መስራቱ ነው።
876,የዲጂታል ዑደት ምንድን ነው?,የ ስታቲክ ዲሲፕሊን ን የሚቀበል ማናቸውም ዓይነት የዑደት አይነትን ነው።
877,ግራጫ ቢጤ የሆነ፣ ፈርጠም ያለ፣ ከደቡብ ምዕራብ ኢትዮጵያ እስከ ደቡብ አፍሪቃ፣ በተጨማሪም በኮንጎ ደኖች የሚገኝ ዝንጀሮ ምን ይባላል?,ጨኖ
878,የደን ዝንጀሮች በአብዛኛው በየት አካባቢ ይኖራሉ?,ከዝናባማ ሥፍራዎች ደኖች
879,ጨኖዎች በተራራማ ሥፍራዎች በምን ያህል ከፍታ ላይ ይገኛሉ?,እስከ 3000 ሜትር
880,ጨኖዎች ከወለዱ በኃላ ለቀጣይ እርግዝና ምን ለያህል ጊዜ መቆየት አለባቸው?,15 ወራት
881,የጨኖ አማካይ ክብደት ስንት ነው?,4.5 ኪ.ግ
882,የአንድ ሕይወት ያለው ማህብረሰብ የዘር ውርስ ባህሪይ ከትውልድ ወደትውልድ እየተቀየረ መሄድ ምን ይባላል?,ዝግመተ ለውጥ
883,ዝግመተ ለውጥን ለመጀመርያ ጊዜ በሳይንሳዊ መልኩ የተነተነው ማነው?,ቻርለስ ዳርዊን
884,ማህበረሰባዊ ጄኔትክስ እሚባለው የምን ጥናት ውህድ ነው?,ጄኔቲክስ (ሥነ በራሂ) እና ዝግመተ ለውጥ
885,ማህበረሰባዊ ጄኔትክስ መቼ ተመሰረተ?,በ፳ኛው ክፍለ ዘመን
886,የአዋሽ ብሔራዊ መዝናኛ እና የዱር አራዊት ጥበቃ ክልል አሁን ያለው የቆዳ ስፋት ስንት ነው?,፯መቶ ፶፮ ካሬ ኪሎ-ሜትር
887,በአዋሽ ብሔራዊ መዝናኛ እና የዱር አራዊት ጥበቃ ክልል የሚገኘው ተራራ ስም ማነው?,ፋንታሌ
888,የመጀመሪያው ብሔራዊ የዱር አራዊት ጥበቃ ባለ-ሥጣን ከተመሠረተ በኋላ የተደረገው የመጀመርያ ስራ ምንድን ነበር?,በታቀዱት ክልሎች የሚገኙትን የአገሪቱን የዱር አራዊት ኃብት መጠን ማረጋገጥ
889,የአገሪቱን የዱር አራዊት ኃብት መጠን ለማረጋገጥ የተመረጠው ሰው የምን ሃገር ዜጋ ነበር?,እንግሊዛዊው
890,በክልሉ ስድስቱ በኢትዮጵያ ውስጥ ብቻ የሚገኙት የወፍ ዝርያዎች ስማቸውን ጥቀስ?,መንቆረ-ጥቁር ጋርደም፤ ግንደ-ቆርቁር፤ ክንፈ-ነጭ የገደል-ቻት፤ ጅራተ-ረጅም ወማይ፤ ቁራ እና ጋጋኖ 
891,ዋሻ ውስጥ የሚገኘው ቤተክርስቲያን በማን እና መቼ ተሰራ?,በ12ኛው ክፍለ ዘመን  በአቡነ ዮሴፍ
892,ዋሻው በምን አይነት ጉዞ ነው ከላሊበላ 6 ሰአት የሚፈጀው?,የእግር ጉዞ
893,ዓፄ ይምርሃነ ክርስቶስ ከየት ሆኖ ነበር አገሩን ያስተዳድር የነበረው?,ከሮሃ 
894,ይህን ቤተክርቲያን በ16ኛው ክፍለዘመን መግቢያ ላይ የጎበኘው ሰው ስሙ ማን ነው?,ፍራንሲስኮ አልቫሬዝ
895,ፍራንሲስኮ አልቫሬዝ በዚህ ቤተክርቲያን ውስጥ አይኖሩበትም ያለው ማንን ነው?,መነኮሳት
896,የታሪክ ማስታወሻ የተሰኘው መፅሀፍ በማን ተፃፈ?,ደጃዝማች ከበደ ተሰማ
897,የጥንታዊት ኢትዮጵያ ጀግኖች አርበኞች ማኅበር ለመጀመሪያ ጊዜ ማህበሩን የመሰረቱት መሥራቾች ስንት ነበሩ?,ሃያ ዘጠኝ
898,የጥንታዊት ኢትዮጵያ ጀግኖች አርበኞች ማኅበር የተሻሻለው ሁለተኛ ስም ማን ነው?,ጥንታዊት ኢትዮጵያ ሀገራዊ የዠግኖች  ማኅበር
899,የጥንታዊት ኢትዮጵያ ጀግኖች አርበኞች ማኅበር የተዘጋበት ምክንያት ምንድን ነው?,ከመንግሥት ዕውቅናን ስላላገኘ
900,አቡነ ባስልዮስ በ14 አመታቸው በደብረ ሊባኖስ ገዳም ያስተማሯቸው መምህር ማን ነበሩ?,መምህር ገብረ ኢየሱስ
901,አቡነ ባስልዮስ የህይወት ዘመናቸው ከስንት አስከ ስንት ነበር?,፲፰፻፹፬ዓ/ም (ሚዳ ሚካኤል) - ፲፱፻፷፫ ዓ/ም (አዲስ አበባ)
902,ፋሺስት ኢትዮጵያን በወረረበት ጊዜ አቡነ ባስልዮስ ምን ደረጃ ላይ ነበሩ?,አምሣ-ዘጠነኛው ዕጨጌ 
903,አቡነ ባስልዮስ በመጀመርያ የምን ቤተክርስቲያን አስተዳዳሪ ነበሩ?,በኢየሩሳሌም ያሉ የኢትዮጵያን ገዳማት
904,ንጉሰ ነገስቱ በስደት የት ሃገር ነበሩ?,ከ’ባዝ’ (ብሪታንያ) 
905,ብርሃንና ሰላም ማተሚያ ቤት መቼ ስራ ጀመረ?,ታኅሣሥ ፳፫ ቀን ፲፱፻፲፯ ዓ/ም
906,ጥንታዊ ኢትዮጰያውያን ሊቃውንት መጻሕፍት የሚጻፈው እንዴት ነበር?,ብራና ተፍቆ ፣ ቀለም ተቀምሞ በእጅ ተፅፎ ነበር። 
907,በኢትዮጵያ የዘመናዊ ሕትመት ሥራ በማን ዘመን ተጀመረ?,በዳግማዊ ምኒልክ ዘመነ-መንግሥት
908,የብርሃንና ሰላም ማተሚያ ቤትም የምሥረታው ዋና ዓላማ ምንድ ነው?,የአገሪቱን መንፈሳዊ መጻሕፍት በብዛት እና በዘመናዊ መልክ ከእጅ ጽሑፍ ወደ ሕትመት ለማሸጋገር 
909,የመጀመሪያውን የሸክላ ማጫዋች ለአፄ ሚኒልክ ያመጡላቸው እነማን ናቸው?,ሄንሪ ደ አርሊንስ እና ኒኮላስ
910,የመጀመሪያውን የሸክላ ማጫዋች ሄንሪ ደ አርሊንስ እና ኒኮላስ ሊዋንቲቭ ለአፄ ሚኒልክ ያመጡላቸው መቼ ነበር?,በ፲፰፻፹፱ ዓ.ም. 
911,ኢትዮጵያ ውስጥ ለመጀመሪያ ጊዜ ድምፃቸው በዲስክ የተቀረፁት እነማን ናቸው?,ዓፄ ምኒልክና እቴጌ ጣይቱ
912,በኢትዮጵያ የሙዚቃ ታሪክ በሸክላ የተቀረፀው የመጀመሪያው ሙዚቀኛ ዜማ የማን ነበር?,የነጋድራስ ተሰማ እሸቴ
913,ባሕር ዛፍ ወደ ኢትዮጵያ እንዲመጣ ያደረጉት ንጉስ ማን ናቸው?,ዳግማዊ ምኒልክ
914,ባሕር ዛፍ ወደ ኢትዮጵያ የመጣው ከየት ሀገር ነው?,ከአውስትራሊያ
915,በዓለም ላይ ምን ያህል የባሕር ዛፍ ዝርያዎች አሉ?,700
916,በኢትዮጵያ ሁለተኛውን ፓትርያርክ ለመሾም በተደረገው ምርጫ አቡነ ቴዎፍሎስ በስንት ድምፅ ተመረጡ?,፻፳፫ ድምጽ
917,የመጀመሪያው ኢትዮጵያዊ ፓትርያርክ ማናቸው?,ብጹዕ ወቅዱስ አቡነ ባስልዮስ
918,አቡነ ቴዎፍሎስ በማን ተገደሉ?,በደርግ
919,የኢትዮጵያ ኦርቶዶክስ ተዋሕዶ ቤተ ክርስቲያን ሁለተኛው ርዕሰ ሊቃነ ጳጳሳት ወፓትርያርክ የነበሩት ማን ናቸው?,አቡነ ቴዎፍሎስ
920,አቡነ ቴዎፍሎስ ንባብ እና ዜማን ከማን ተማሩ?,በመምህር መሪ ጌታ ረዳኸኝ እና ግራ ጌታ ሣህሉ
921,አቡነ ቴዎፍሎስ በስንት ዓ.ም ወደ አዲስ አበባ መጡ?,በ፲፱፻፻፳ ዓ/ም
922,አቡነ ቴዎፍሎስ የሐረርጌ ጳጳስ ሆነው የተሾሙት መቼ ነው?,እሑድ ሐምሌ ፲፰ ቀን  ፲፱፻፵ ዓ/
923,አቡነ ቴዎፍሎስ የሐረርጌ ጳጳስ ሆነው የተሾሙት በማን ነው?,በእስክንድርያው ፓትርያርክ ዳግማዊ አቡነ ዮሳብ 
924,አቡነ ቴዎፍሎስ የሐረርጌ ጳጳስ ሆነው የተሾሙት የት ነው?,በካይሮ በትረ ካና ቅዱስ ማርቆስ ቤተ ክርስቲያን
925,አቡነ ቴዎፍሎስ የተገደሉት መቼ ነው?,ሐምሌ ፲፰ ቀን  ፲፱፻፵ ዓ/ም
926,አለቃ ደስታ ተክለወልድ በድሬዳዋ በአልዓዛር ማተሚያ ቤት ለምን ያህል አመት ሰሩ?,16 ዓመት
927,አለቃ ደስታ ተክለወልድ በድሬደዋ በየትኛው ማተሚያ ቤት ሰሩ?,አልአዛር ማተሚያ ቤት
928,አንኮበር ከተማ ከደብረ ብርሃን በምን ያህል ርቀት ላይ ትገኛለች ?,፵፫ ኪሎ ሜትር 
929,አንኮበር ከተማ መቼ ተቆረቆረች?,በ፲፯፻፳ ዓ/ም
930,አንኮበር ከተማን ያስፋፋት ማነው?,መርድ አዝማች አምኀ ኢየሱስ
931,አንኮበር ከተማ በማን ተቆረቆረች?,በሸዋው ነጋሲ በመርድ አዝማች አብዬ
932,ጋሊልዮ ምን ዓይነት ስራን በመስራት ታዋቂ ሊሆን ቻለ?,አጉሊ መነጽር
933,የጋሊልዮ ሁሉም ክብደት ያላቸው ነገሮች በእኩል ሰዓት መሬት ይደርሳሉ የሚለው አስተሳሰብ ያረጋገጠው ማነው?,ኢሳቅ ኒውተን
934,በካቶሊክ ቤተክርስቲያን ጋሊልዮ ለእስር ያበቃው ምን ነበር?,ከሱ ቀድሞ የተነሳውን የኮፐርኒከስን ሃሳብ (መሬት ሳትሆን ፀሓይ የአለም መካከለኛ ናት) በመደገፉ
935,የጋሊልዮ ጥናት ትክክለኛ እንደነበር በማመን የካቶሊክ ቤተክርስቲያንን ወክለው ስለደረሰበት ግፍ ይቅርታ የጠየቁት ማናቸው?,የሮማው ፓፓ ጆን ፓውል 2ኛ
936,የሮማው ፓፓ ጆን ፓውል 2ኛ የጋሊልዮ ጥናት ትክክለኛ እንደነበር በማመን የካቶሊክ ቤተክርስቲያንን ወክለው ስለደረሰበት ግፍ ይቅርታ የጠየቁት ከስንት ዓመት በኋላ ነበር?,ከ400
937,የሮማው ፓፓ ጆን ፓውል 2ኛ የጋሊልዮ ጥናት ትክክለኛ እንደነበር በማመን ማንን ወክለው ነው ስለደረሰበት ግፍ ይቅርታ የጠየቁት?,የካቶሊክ ቤ/ክርስቲያ
938,ጋሊልዮ በስንት ዓ.ም ሞተ?,"ጥር 8, 1642 "
939,ጋሊልዮ መቼ ተወለደ?,"ታህሳስ 15, 1564 "
940,ለመጀመሪያ ጊዜ ጨረቃ ላይ ያረፈው ሰው ሰራሽ ነገር መቼ ነበር?,በመስከረም 13፣ 1959 እ.ኤ.አ.
941,ለመጀመሪያ ጊዜ ጨረቃ ላይ ያረፈው ሰው ሰራሽ ነገር የማን ሀገር ነበር?,የሶቭዬት ህብረት
942,ለመጀመሪያ ጊዜ የሰው ልጅ እራሱ ጨረቃ ላይ የወጣው መቼ ነው?,ሐምሌ 20፣ 1969 እ.ኤ.አ.
943,የሰው ልጅ ለመጀመሪያ ጊዜ ጨረቃ ላይ የወጣው በምን መንኮራኩር ተጠቅሞ ነበር?,በአሜሪካው የአፖሎ 11 ሚሲዮን
944,የጨረቃን ምድር የመጨረሻው የረገጠው ሰው ማን ነው?,ዩጂን ከርናን
945,በአንኮበር ምን ዓይነት ስራዎች በብዛት ይሰሩ ነበር?,የእደ ጥበብ ሥራዎች
946,የአራት ማዕዘን ዉስጣዊ ማዕዘኖች ድምር ስንት ዲግሪ ይሆናል?,360
947,ፓራሎግራም ሆኖ ተነካኪ ጎኖቹ እኩል ያልሆኑና ማዕዘኖቹ ኦብሊክ የሆኑ አራት መአዘን ምን ይባላል?,ሮምባቶይድ
948,ፓራላሎግራም በውስጡ ምን ምን ይዟል?,ካሬ፣ ሬክታንግል፣ ሮምበስና ሮምባቶይድ 
949,ፓራላሎግራም ምንድነው?,ሁለቱ ጎኑ ትይዩ የሆነ አራት ማዕዘን 
950,አፄ ይስሐቅ የዙፋን ስማቸው ማን ይባላል?,ዳግማዊ ገብረ መስቀል
951,የቀዳማዊ አጼ ዳዊት ሁለተኛ ወንድ ልጅ እና የቀዳማዊ ቴዎድሮስ ታናሽ ወንድም ማን ናቸው?,አጼ ይሥሓቅ
952,አፄ ይስሐቅ በኮሶጌ ያሰሩት ቤተክርስቲያን ምን ይባላል?,ደብረ ይሥሓቅ
953,አፄ ይስሐቅ ያሰሩት ደብረ ይሥሓቅ የሚባለው ቤተክርስቲያን በየት ተሰራ?,ኮሶጌ
954,ለመጀመሪያ ጊዜ ሰዎችን ከመሬት ወደ ጨረቃ ለማጓጓዝ የተዘጋጀው አፓሎ 11 መንኮራኩር የሰራው የጠፈር ምርምር ጣቢያ ማን ይባላል?,ናሳ
955,ናሳ ለመጀመሪያ ጊዜ ሰዎችን ከመሬት ወደ ጨረቃ ለማጓጓዝ ያዘጋጀው መንኮራኩር ምን ይባላል?,አፖሎ 11
956,ሀምሌ 16/1961 አፓሎ 11 ከመሬት ሲመነጠቅ በውስጡ ስንት ጠፈርተኞችን ይዞ ነበር?,3 
957,ሀምሌ 16/1961 አፓሎ 11 ከመሬት ሲመነጠቅ በውስጡ የያዛቸው ጠፈርተኞችን እነማን ነበሩ?,ኔል አርምስትሮንግ፣ በዝ አልድሪንና ማይክል ኮሊንስ
958,የጨረቃን ምድር በእግራቸው ለመርገጥ የመጀመሪያዎቹ ሰዎች እነማን ናቸው?,አርምስትሮንግና አልድሪን 
959,የአፓሎ 11 ሚሲዮን ወደ ጠፈርይዞ የተጓው ሮኬት ማን ይባላል?,ሮኬት ሳተርን ፬
960,የሳተርን ሮኬት አፖሎ 11 ሚሲዮንን ይዞ ጉዞ የጀመረበት ጠፈር ማእከል ማን ይባላል?,ኬኔዲ ጠፈር ማዕከል
961,የሳተርን ሮኬት አፖሎ 11 ሚሲዮንን ይዞ ከምን ያህል ጊዜ በኋላ ጨረቃ ላይ ደረሰ?,ከ2 ሰዓት
962,ሳምሱ-ዲታና የማን ልጅ እና ወራሽ ነበር?,የአሚ-ሳዱቃ ልጅና ወራሽ
963,የሃሙራቢ ሥርወ መንግሥት መጨረሻ ንጉሥ ማን ነበር?,ሳምሱ-ዲታና
964,በአንድ የታሪክ ፅላት የተቀረፀው ከሳምሱ-ዲታና ጋር የታገለው ስርወ መንግስት ማን ይባላል?,የባሕር ምድር ሥርወ መንግሥት
965,ሳምሱ-ዲታናም እንደ ተገደለ የመሰለው መቼ ነበር?,1507 ዓክልበ. 
966,ሃሙራቢ እንደ ሕግ ሰጪ ንጉስ ዝነኛ ስለሚሆን ምስሉ በየት ሀገር መንግስት ቤቶች እስከ ዛሬ ይታያል?,ዋሺንግተን ዲሲ በአሜሪካ ምክር ቤት ውስጥ
967,የሃሙራቢ አባት ማን ይባላል?,ሲን-ሙባሊት
968,የሃሙራቢ ወራሽ ከሆነ በኃላ በሜስፓጦምያ በጦርነት የትኛውን መንግስት አስፍፍ?,የባቢሎንን መንግሥት ግዛት
969,ክርስታል ሬዴዎች አንቴናቸው እና ከፍታቸው በያንስ ስንት መሆን አለበት?,20 ሜትር ርዝመትና 6 ሜትር  ከፍታ
970,ኋንግ ዲ የተወለደው በየት ስፍራ ነው?,ሾው ጪው 
971,ስለ ኋንግ ዲ የሚነገረው ትውፊት ምንድን ነው?,ድብ፣ ነብርና ባለክንፍ አንበሣ የመሰለ ፍጡር አንዳስለመደ
972,ኋንግ ዲ በይፋ የቻይና ንጉስነት ማዕረግ የወሰደው ስንት ውጊያዎችን ካሸነፈ በኋላ ነበር?,ሦስት
973,ኋንግ ዲ ከዋና ሚስቱ በተጨማሪ የነበሩት 3 ሚስቶች እነማን ናቸው?,ፋንግሌ፣ ቶንግዩ እና ሞሙ
974,የኋንግ ዲ ሚስት ማን ትባላለች?,ሌዙ
975,ማርክሲስም-ሌኒኒስም በተለይ በካርል ማርክስና በቭላዲሚር ሌኒን ትምህርት የተመሠረተ ፖለቲካዊ ርዕዮተ ዓለም ምን ይባላል ?,ማርክሲስም-ሌኒኒስም
976,የሂና ተክል ቁመቱ ምን ያህል ነው?,ከ1.8 እስከ 7.6 ሜትር
977,የቁጥሮችን ቅልቅል ውጤት የሚያጠና ሲሆን ብዙ ጊዜ ቁጥሮች ሲደመሩ፣ ሲቀነሱ፣ ሲባዙና ሲካፈሉ የሚያሳዩትን ባህርይ የሚመረምር ምን ይባላል?,ሥነ ቁጥር
978,ቁጥርን መጻፍ የጀመሩት እነማን ናቸው?,ግብጽ እና ባቢሎን
979,የሒሳብና የሥነ ቁጥር እድገት በስንተኛው ክፍለ ዘመን በጣም አደገ?,በ4ኛው ክፍለዘመን
980,አሁን በመላው አለም የሚሰራበት ቁጥር ምን ይባላል?,የህንዲ-አረብ ቁጥር
981,ቦሌ ዓለም አቀፍ የአውሮፕላን ማረፊያ ከምን ቦታ በስምንት ኪሎሜትር ርቀት ላይ ይገኛል?,ከአራዳ
982,አውሮፕላን ወደ ኢትዮጵያ መግባት የጀመሩት በማን ዘመን ነበር?,በንግሥት ዘውዲቱ
983,የመጀመሪያው ቋሚ የአውሮፕላን ጣቢያ የተሠራው የት ነው?,የልደታ የጥያራ ጣቢያ
984,የመጀመሪያው ቋሚ የአውሮፕላን ጣቢያ የተሠራው ስያሜ ምን ነበር?,ኢቮ ኦሊቬቲ
985,በፋሺስት ወረራ ዘመን በአገር ውስጥ እና ከአገር ውጭ የበረራ መሥመር የነበረው ኩባንያ ምን ነበር?,አላ ሊቶሪያ
986,ከጣልያን ድል ወዲህ ልደታ አውሮፕላን ጣቢያን እነማን ይገለገሉበት ነበር?,የብሪታኒያ ጦር ኃይሎች
987,የኢትዮጵያ አየር መንገድ መቼ ተመሰረተ?,ታኅሣሥ ፳፩ ቀን ፲፱፻፴፰ ዓ/ም
988,የአዲስ አበባ አየር ጣቢያ ዝርዝር ጥናት እንዲያዘጋጅ የተመረጠው ድርጅት ማን ነው?,አማን እና ዊትኒ
989,የቦሌ ዓለም አቀፍ የአውሮፕላን ማረፊያ የቀድሞ ስም ማን ነበር?,ቀዳማዊ ኃይለ ሥላሴ ዓለም አቀፍ አውሮፕላን ማረፊያ
990,የቦሌ ዓለም አቀፍ የአውሮፕላን ማረፊያ ግንባታ መቼ ተመረቀ?,ኅዳር ፲፩ ቀን ፲፱፻፶፮ ዓ/ም
991,ጓሳ ምን ያህል ሜትር ድረስ ይደርሳል?,10 ሜትር 
992,የአበባ ቅጠሎች ርዝመት ምን ያህል ነው?,8-14 ሚሊሜትር
993,የአበቦቹ ቀለም እንዴት አይነት ነው?,አረንጓዴ-ቢጫ
994,የፓርጦሎን ስም የተጠቀሰበት መጽሃፍ በምን ቋንቋ ነበር የተጻፈው?,በሮማይስጥ
995,ሂስቶሪያ ብሪቶኑም የብሪታንያውያን ታሪክ መቼ ተጻፈ?,በ820 ዓ.ም. 
996,ፓርጦሎን መጀመርያ ምን ያህል ሠፈረኞችን ይመራ ነበር?,1 ሺህ
997,ፓርጦሎን የምን ሃገር ንጉስ ነበር?,አይርላንድ
998,አንድ ኤሌክትሪክ አካል በውስጡ ሊያልፍ የሚሞክር የኤሌክትሪክ ጅረትን የሚያደናቅፍበት መጠን ልኬት ምን ይባላል?,የኤሌክትሪክ መጠነ እንቅፋት  (ሬዚስታንስ)
999,የኤሌክትሪክ መጠነ እንቅፋት የደረሰበት ሰው ማን ይባላል?,ጆርጅ ኦም
1000,ለብዙ ቁሶችና ሁኔታዎች ጸንቶ የሚቆየው ቋሚ ቁጥር ምንድን ነው?,የኤሌክትሪክ መጠነ እንቅፋት R
1001,የአንድ ሽቦ መጠነ እንቅፋት በምን ይወሰናል?,በርዝመቱና በስፋቱ
1002,የአንድ ሽቦ መጠነ እንቅፋት ከርዝመት እና ከስፋት ከማን ጋር በቀጥታ ከማን ጋር በተቃራኒ ይወሰናል?,የሽቦው ርዝመት በጨመረ ቁጥር እንቅፋቱ እየጨመረ ይሄዳል፣ በአንጻሩ ስፋቱ ሲጨምር እንቅፋቱ ይቀንሳል። 
1003,የኤሌክትሪክ መጠነ እንቅፋት በምን ይለካል?,በ ኦም-ሜትር
